date,AAPL,ABBV,ABT,ACN,ADBE,ADI,ADP,AMD,AMGN,AMT,AMZN,APD,AVGO,AXP,BA,BAC,BDX,BKNG,BLK,BMY,BRK-B,C,CAT,CI,CL,COST,CRM,CSCO,CVS,CVX,DE,DHR,DIS,ECL,EL,EMR,ETN,FDX,GE,GILD,GM,GOOGL,GS,HCA,HD,INTC,INTU,ISRG,ITW,JNJ,JPM,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,META,MMC,MO,MRK,MS,MSFT,MU,NEE,NKE,NOW,NVDA,ORCL,PEP,PG,PGR,PLD,PM,QCOM,REGN,RTX,SCHW,SPGI,SYK,T,TJX,TMO,TSLA,TXN,UNH,UNP,UPS,USB,V,VZ,WFC,WMT,XOM,ZTS
2018-01-02,40.42683410644531,71.0136489868164,51.53783416748047,137.3915252685547,177.6999969482422,78.78623962402344,99.58309936523438,10.979999542236328,140.852783203125,118.03565216064453,59.45050048828125,139.0248565673828,21.257522583007812,89.21790313720703,282.88641357421875,25.191646575927734,191.8716278076172,1765.4481201171875,422.8966064453125,47.339088439941406,197.22000122070312,57.58989334106445,132.71484375,188.0675811767578,62.90546798706055,169.20115661621094,103.66718292236328,30.966257095336914,58.05508041381836,92.35299682617188,141.67041015625,79.32852935791016,107.39928436279297,124.45867919921875,116.37073516845703,58.890052795410156,67.66317749023438,228.63412475585938,81.48306274414062,55.99430465698242,37.019317626953125,53.405174255371094,216.48085021972656,83.63959503173828,157.68031311035156,39.330387115478516,150.61834716796875,125.08333587646484,138.78717041015625,112.88256072998047,87.57189178466797,36.272216796875,139.1239013671875,75.4276123046875,262.91766357421875,79.86306762695312,145.66465759277344,146.0846405029297,35.854461669921875,68.13239288330078,180.5689697265625,71.30428314208984,41.04026412963867,43.10444641113281,41.601890563964844,79.3285140991211,42.692745208740234,32.50229263305664,58.35535430908203,131.72999572753906,4.929426193237305,41.520050048828125,95.27210998535156,74.35999298095703,45.5113525390625,52.62839889526367,70.57827758789062,53.84680938720703,381.5453186035156,67.42635345458984,46.41735076904297,157.305908203125,145.87896728515625,16.6159610748291,34.539093017578125,189.44996643066406,21.368667602539062,85.72221374511719,198.5353240966797,115.24513244628906,94.42782592773438,40.67168045043945,108.74042510986328,35.9847526550293,49.43824005126953,29.041027069091797,60.04023361206055,67.8520736694336
2018-01-03,40.41978454589844,72.12493133544922,51.65179443359375,138.02566528320312,181.0399932861328,79.76365661621094,100.66485595703125,11.550000190734863,143.51058959960938,118.49565124511719,60.209999084472656,139.78082275390625,21.489990234375,89.76795959472656,283.80126953125,25.107398986816406,193.76536560058594,1804.4317626953125,427.3585205078125,47.377689361572266,199.7899932861328,57.76802444458008,132.9176483154297,191.22434997558594,62.66268539428711,171.2317352294922,104.5409164428711,31.21329116821289,57.8023796081543,93.0262222290039,142.31590270996094,80.38406372070312,107.86039733886719,125.26373291015625,118.22224426269531,59.43114471435547,70.04844665527344,231.4920196533203,82.25348663330078,56.41748809814453,37.922672271728516,54.316314697265625,214.46571350097656,81.33158111572266,158.502197265625,37.9955940246582,151.03587341308594,127.94000244140625,139.36659240722656,113.96084594726562,87.66111755371094,36.192562103271484,140.29074096679688,75.83734893798828,265.121337890625,80.21173095703125,147.4961395263672,145.46897888183594,35.99819564819336,69.549560546875,183.80372619628906,72.2354507446289,40.8894157409668,43.04310989379883,41.71348571777344,79.69770812988281,43.97342300415039,31.812828063964844,58.346168518066406,132.91000366210938,5.253853797912598,42.48169708251953,95.02195739746094,74.26976013183594,45.486698150634766,52.529720306396484,70.49039459228516,54.45795822143555,392.6944885253906,68.41541290283203,46.489532470703125,159.832275390625,146.70118713378906,16.23224449157715,33.91758346557617,192.9251708984375,21.149999618530273,88.04449462890625,200.61795043945312,115.89016723632812,96.51991271972656,41.070648193359375,109.82299041748047,35.24530792236328,49.818599700927734,29.29434585571289,61.21941375732422,68.16409301757812
2018-01-04,40.6075439453125,71.713623046875,51.56413269042969,139.6599578857422,183.22000122070312,79.67639923095703,101.62641906738281,12.119999885559082,142.90586853027344,116.76437377929688,60.47949981689453,140.3184356689453,21.497154235839844,91.2610855102539,282.7243957519531,25.43598747253418,194.64617919921875,1787.7047119140625,433.00030517578125,47.99167251586914,200.69000244140625,58.480552673339844,134.7430877685547,192.22702026367188,63.06453323364258,169.90196228027344,105.92103576660156,31.301591873168945,59.326393127441406,92.7366943359375,143.1317901611328,80.77025604248047,107.81236267089844,126.2815933227539,118.77859497070312,59.514427185058594,69.30194091796875,235.0955047607422,83.9756088256836,55.84318542480469,39.09170150756836,54.527305603027344,217.46302795410156,80.32241821289062,159.76002502441406,37.298805236816406,153.7403564453125,125.63999938964844,139.52615356445312,113.9527816772461,88.91690826416016,36.702327728271484,142.4908905029297,76.17581939697266,269.6691589355469,80.8393325805664,149.40432739257812,146.48941040039062,36.082725524902344,69.71531677246094,183.46533203125,72.98931884765625,40.72698974609375,43.74081039428711,42.35118865966797,80.39918518066406,45.830902099609375,31.649349212646484,58.309391021728516,133.85000610351562,5.2815470695495605,42.900184631347656,95.49002075195312,74.79474639892578,45.47847366333008,51.477317810058594,69.95626831054688,54.53226852416992,381.89434814453125,68.6311264038086,46.751224517822266,162.22755432128906,146.65504455566406,16.383142471313477,33.97161865234375,195.34019470214844,20.974666595458984,87.93083953857422,201.4887237548828,115.26209259033203,97.14601135253906,41.38679885864258,110.2313461303711,35.359580993652344,50.44172286987305,29.32086944580078,61.304168701171875,68.57058715820312
2018-01-05,41.069854736328125,72.9620132446289,51.71315383911133,140.8120574951172,185.33999633789062,79.99929809570312,101.56634521484375,11.880000114440918,143.75735473632812,117.51710510253906,61.457000732421875,141.494384765625,21.624536514282227,91.4692153930664,294.32232666015625,25.55393409729004,195.6062469482422,1803.8187255859375,436.6894836425781,48.10047149658203,201.4199981689453,58.40312194824219,136.87274169921875,195.48593139648438,63.1399040222168,168.68902587890625,107.33092498779297,31.7351131439209,61.948036193847656,92.58464813232422,143.74151611328125,81.27659606933594,107.22637176513672,126.9385986328125,118.5596923828125,60.29696273803711,69.83394622802734,236.01861572265625,84.02091217041016,56.31169509887695,38.97657012939453,55.25034713745117,216.3538818359375,81.2287826538086,161.42880249023438,37.559043884277344,155.73321533203125,126.336669921875,139.42535400390625,114.89325714111328,88.34610748291016,36.694358825683594,143.73794555664062,77.1111068725586,272.1124572753906,82.58270263671875,152.5015411376953,146.78460693359375,36.547706604003906,70.89215850830078,185.9735107421875,73.49485778808594,40.843021392822266,43.69480514526367,42.335243225097656,81.39595794677734,44.775062561035156,31.7939510345459,58.80573272705078,135.00999450683594,5.3263044357299805,43.158409118652344,95.76438903808594,74.84394836425781,45.65110778808594,51.43621063232422,70.51742553710938,54.89567184448242,384.0384216308594,69.22036743164062,46.93169021606445,164.39837646484375,148.79835510253906,16.443498611450195,34.74626922607422,198.68780517578125,21.10533332824707,88.60479736328125,205.33084106445312,116.73043060302734,97.44383239746094,41.64274215698242,112.8712387084961,35.27890396118164,50.7816276550293,29.49465560913086,61.25471115112305,69.35527801513672
2018-01-08,40.917320251464844,71.79298400878906,51.56413269042969,141.9373321533203,185.0399932861328,80.13892364501953,101.25726318359375,12.279999732971191,143.71754455566406,118.77164459228516,62.34349822998047,141.64561462402344,21.67628288269043,90.62763214111328,295.57073974609375,25.37700653076172,195.00729370117188,1831.782958984375,439.9465026855469,48.11602783203125,202.74000549316406,57.7215461730957,140.31231689453125,193.32266235351562,63.23198318481445,169.34490966796875,108.08551788330078,32.064266204833984,61.411075592041016,93.04070281982422,144.4497833251953,81.73998260498047,105.68933868408203,126.49446105957031,119.4535140991211,60.105491638183594,70.3830795288086,238.4504852294922,82.84264373779297,56.221004486083984,39.162540435791016,55.44541931152344,213.21258544921875,81.06060028076172,161.04307556152344,37.559043884277344,155.82806396484375,130.6199951171875,140.71856689453125,115.03916931152344,88.4765625,36.63859558105469,143.68447875976562,76.71917724609375,270.8578186035156,81.68487548828125,152.96250915527344,146.6834259033203,36.36172103881836,70.86729431152344,187.3968048095703,72.7143783569336,40.79079818725586,43.44179916381836,42.15988540649414,81.4790267944336,44.530670166015625,32.05591583251953,59.32962417602539,135.3000030517578,5.48950719833374,43.61253356933594,95.21563720703125,75.23770141601562,45.79085922241211,52.03640365600586,70.40925598144531,54.730491638183594,371.4930725097656,69.87802124023438,47.139244079589844,165.78309631347656,150.8309326171875,16.490928649902344,34.07070541381836,199.01174926757812,22.42733383178711,89.02701568603516,201.76698303222656,118.35160827636719,98.6272964477539,41.70295715332031,113.32707214355469,35.21841049194336,50.20705032348633,29.93060302734375,61.53008270263672,70.187255859375
2018-01-09,40.912620544433594,72.33419799804688,51.65179443359375,142.41064453125,186.6999969482422,79.97313690185547,101.96128845214844,11.819999694824219,145.9298553466797,117.96873474121094,62.6349983215332,142.00677490234375,21.37613868713379,90.96244049072266,303.4615173339844,25.503385543823242,199.4287872314453,1845.1171875,443.64404296875,48.06938171386719,203.02000427246094,58.325653076171875,140.65032958984375,192.99766540527344,63.32406997680664,167.37725830078125,108.37345123291016,31.863563537597656,61.34790802001953,92.54120635986328,148.47547912597656,84.62340545654297,105.61249542236328,126.45741271972656,120.1193618774414,60.205379486083984,70.34017181396484,237.64280700683594,84.11156463623047,59.016937255859375,39.011993408203125,55.374755859375,215.01605224609375,80.35978698730469,161.9320068359375,36.61881637573242,156.807861328125,132.53334045410156,141.8018341064453,116.8633804321289,88.92507934570312,36.82179260253906,145.08294677734375,76.65682220458984,272.7973937988281,82.41708374023438,153.18344116210938,146.3544921875,36.34479904174805,71.17391967773438,186.98870849609375,72.7143783569336,40.361488342285156,43.54914474487305,42.486690521240234,81.42366027832031,42.008399963378906,31.821184158325195,58.906829833984375,135.4499969482422,5.488022327423096,43.8538818359375,95.28827667236328,74.68810272216797,46.1772575378418,51.51021194458008,70.91633605957031,53.90461730957031,367.6337585449219,70.64088439941406,48.131839752197266,165.8393096923828,148.5397186279297,16.44792938232422,34.00315856933594,202.32997131347656,22.246000289916992,89.63602447509766,202.77243041992188,119.6756591796875,98.58148193359375,41.98902130126953,113.1086654663086,35.08924102783203,50.385093688964844,29.571243286132812,61.26884841918945,71.009765625
2018-01-10,40.90323257446289,71.93730926513672,51.57289505004883,141.9105224609375,187.11000061035156,78.63790893554688,101.00829315185547,11.960000038146973,145.51602172851562,115.09169006347656,62.71649932861328,141.41043090820312,20.924734115600586,91.59587860107422,305.20550537109375,25.739294052124023,197.7905731201172,1852.6546630859375,441.6746826171875,48.1937370300293,205.61000061035156,58.588966369628906,140.17709350585938,192.2734832763672,62.637596130371094,166.59559631347656,108.02594757080078,32.04018783569336,61.15050506591797,93.13481140136719,147.8837127685547,84.30589294433594,105.1610107421875,125.03238677978516,118.86070251464844,60.43014144897461,70.76060485839844,237.87351989746094,85.78836059570312,59.4778938293457,38.08207702636719,55.242889404296875,215.3462677001953,79.38800048828125,160.84185791015625,35.678585052490234,155.53321838378906,141.25332641601562,140.5001983642578,116.7255630493164,89.90361785888672,36.694358825683594,144.851318359375,76.69247436523438,273.24322509765625,82.08583068847656,153.52914428710938,146.3292236328125,36.04045104980469,70.85073852539062,186.95884704589844,71.9782943725586,40.77919387817383,43.9324836730957,42.98887634277344,81.05445861816406,42.340797424316406,31.559232711791992,59.02631759643555,136.22999572753906,5.53104829788208,43.62146759033203,94.8040771484375,74.21234893798828,45.7744255065918,50.51535415649414,71.41665649414062,53.8963623046875,365.4497985839844,70.97232818603516,48.330360412597656,164.31410217285156,147.39407348632812,16.066238403320312,34.349937438964844,202.51646423339844,22.31999969482422,89.07575988769531,201.2642822265625,118.5722885131836,99.10070037841797,42.305171966552734,112.98519897460938,35.14361572265625,51.0810546875,29.359155654907227,60.7816276550293,69.8752670288086
2018-01-11,41.13556671142578,72.14805603027344,51.925235748291016,142.0980682373047,188.9199981689453,79.58040618896484,100.60478210449219,12.140000343322754,144.7998046875,112.88365936279297,63.83399963378906,142.77117919921875,20.978073120117188,91.15249633789062,312.69598388671875,25.83197021484375,198.90036010742188,1872.6263427734375,446.95074462890625,48.55125427246094,206.69000244140625,58.519256591796875,142.9912872314453,195.8015899658203,62.41155242919922,170.1535186767578,108.32381439208984,32.192718505859375,62.39815902709961,95.96517944335938,150.1431427001953,84.60623931884766,106.62117004394531,126.79984283447266,117.73883056640625,61.50406265258789,72.0647964477539,240.69590759277344,86.19624328613281,59.742366790771484,39.135986328125,55.33793640136719,216.02365112304688,81.26618194580078,163.25698852539062,36.44252395629883,155.04811096191406,140.4566650390625,141.91941833496094,117.39038848876953,90.38473510742188,36.67046356201172,145.9113311767578,76.9507827758789,273.30926513671875,83.45437622070312,154.54721069335938,146.22804260253906,35.939002990722656,71.04962158203125,186.88919067382812,71.85413360595703,40.77919387817383,44.162498474121094,43.2041130065918,81.29443359375,41.861759185791016,31.540376663208008,59.090660095214844,137.5800018310547,5.540938854217529,43.75554275512695,94.31989288330078,73.94986724853516,45.75798797607422,50.68803024291992,70.89605712890625,54.0367546081543,367.2448425292969,71.01969146728516,48.88077926635742,165.0532989501953,146.52566528320312,16.004817962646484,34.62466812133789,204.84312438964844,22.530000686645508,89.86335754394531,202.33251953125,119.12399291992188,101.90292358398438,42.666500091552734,113.8018798828125,35.42918395996094,50.992042541503906,29.462251663208008,61.381832122802734,70.51815795898438
2018-01-12,41.56035614013672,72.92573547363281,51.828338623046875,142.99114990234375,195.0500030517578,80.30473327636719,101.7123031616211,12.020000457763672,147.25079345703125,111.23603820800781,65.26000213623047,142.92234802246094,21.040969848632812,91.36968231201172,320.40570068359375,26.27851104736328,200.56504821777344,1898.6419677734375,461.5828857421875,48.81550598144531,210.16000366210938,59.51061248779297,143.92091369628906,198.1227569580078,62.47016906738281,172.36380004882812,109.45569610595703,32.81087875366211,62.2086181640625,96.71080017089844,151.7929229736328,85.29277801513672,108.04290771484375,127.40125274658203,117.22808074951172,61.52903747558594,72.27928924560547,241.28176879882812,85.01793670654297,59.71213912963867,39.02970504760742,56.26350784301758,217.6324005126953,82.9761734008789,164.716064453125,36.299808502197266,156.48446655273438,139.67999267578125,143.19586181640625,118.17683410644531,91.87701416015625,36.7580680847168,146.21417236328125,77.4762954711914,277.53515625,87.9173812866211,155.90135192871094,146.3798065185547,35.90519332885742,70.81754302978516,178.52859497070312,72.49267578125,40.38469314575195,44.9752082824707,43.93746566772461,82.69734954833984,41.85197830200195,31.50265121459961,59.4399299621582,138.19000244140625,5.513737678527832,44.256126403808594,94.7233657836914,73.50687408447266,45.98817443847656,50.85246658325195,70.65263366699219,53.995452880859375,365.94842529296875,71.85620880126953,49.981658935546875,166.21356201171875,146.18385314941406,16.189083099365234,35.25519561767578,206.325439453125,22.4146671295166,91.5279769897461,205.25006103515625,119.81993865966797,102.38395690917969,42.89232635498047,114.0392837524414,35.25919723510742,50.61977005004883,29.712623596191406,61.79842758178711,71.27448272705078
2018-01-16,41.34914779663086,74.48831939697266,51.47601318359375,141.07101440429688,192.4600067138672,81.24725341796875,102.50215911865234,11.90999984741211,147.648681640625,113.4356689453125,65.24299621582031,140.06642150878906,20.958173751831055,90.79956817626953,319.4051208496094,26.32064437866211,201.296142578125,1898.7110595703125,467.7895202636719,46.56940841674805,210.2899932861328,59.719703674316406,143.08425903320312,199.38546752929688,63.1399040222168,172.08526611328125,108.11531066894531,32.54595947265625,62.729801177978516,95.559814453125,150.2148895263672,85.36144256591797,106.33296966552734,126.79054260253906,117.34666442871094,60.62996292114258,71.51566314697266,239.2669677734375,82.52540588378906,60.6416130065918,39.135986328125,56.265995025634766,218.84323120117188,82.96678924560547,164.62388610839844,36.215850830078125,154.37274169921875,140.02333068847656,142.1041259765625,119.06866455078125,91.55082702636719,37.060733795166016,144.38816833496094,75.97095489501953,272.46734619140625,88.01324462890625,155.86288452148438,146.47259521484375,36.34479904174805,70.70982360839844,177.55319213867188,72.06700134277344,39.98438262939453,47.589698791503906,43.52295684814453,81.54364776611328,41.959510803222656,31.548751831054688,58.29102325439453,139.7899932861328,5.442770957946777,44.32764434814453,95.1107406616211,74.00726318359375,46.25946044921875,51.09089279174805,70.90281677246094,56.3657112121582,369.189453125,70.48304748535156,50.10798263549805,164.52000427246094,147.3294219970703,16.1101131439209,34.494049072265625,204.20498657226562,22.67066764831543,91.69035339355469,209.0742950439453,119.09002685546875,101.46006774902344,43.03534698486328,114.32416534423828,35.12322235107422,50.57929992675781,29.65961265563965,61.410072326660156,71.4162826538086
