date,AAPL_close,AAPL_volume,ABBV_close,ABBV_volume,ABT_close,ABT_volume,ACN_close,ACN_volume,ADBE_close,ADBE_volume,AIG_close,AIG_volume,AMD_close,AMD_volume,AMGN_close,AMGN_volume,AMT_close,AMT_volume,AMZN_close,AMZN_volume,AVGO_close,AVGO_volume,AXP_close,AXP_volume,BA_close,BA_volume,BAC_close,BAC_volume,BIIB_close,BIIB_volume,BK_close,BK_volume,BKNG_close,BKNG_volume,BLK_close,BLK_volume,BMY_close,BMY_volume,BRK-B_close,BRK-B_volume,C_close,C_volume,CAT_close,CAT_volume,CHTR_close,CHTR_volume,CL_close,CL_volume,CMCSA_close,CMCSA_volume,COF_close,COF_volume,COP_close,COP_volume,COST_close,COST_volume,CRM_close,CRM_volume,CSCO_close,CSCO_volume,CVS_close,CVS_volume,CVX_close,CVX_volume,DHR_close,DHR_volume,DIS_close,DIS_volume,DUK_close,DUK_volume,EMR_close,EMR_volume,EXC_close,EXC_volume,F_close,F_volume,FDX_close,FDX_volume,GD_close,GD_volume,GE_close,GE_volume,GILD_close,GILD_volume,GM_close,GM_volume,GOOG_close,GOOG_volume,GOOGL_close,GOOGL_volume,GS_close,GS_volume,HD_close,HD_volume,HON_close,HON_volume,IBM_close,IBM_volume,INTC_close,INTC_volume,INTU_close,INTU_volume,ISRG_close,ISRG_volume,JNJ_close,JNJ_volume,JPM_close,JPM_volume,KHC_close,KHC_volume,KMI_close,KMI_volume,KO_close,KO_volume,LIN_close,LIN_volume,LLY_close,LLY_volume,LMT_close,LMT_volume,LOW_close,LOW_volume,MA_close,MA_volume,MCD_close,MCD_volume,MDLZ_close,MDLZ_volume,MDT_close,MDT_volume,MET_close,MET_volume,META_close,META_volume,MMM_close,MMM_volume,MO_close,MO_volume,MRK_close,MRK_volume,MS_close,MS_volume,MSFT_close,MSFT_volume,NEE_close,NEE_volume,NFLX_close,NFLX_volume,NKE_close,NKE_volume,NVDA_close,NVDA_volume,ORCL_close,ORCL_volume,PEP_close,PEP_volume,PFE_close,PFE_volume,PG_close,PG_volume,PM_close,PM_volume,PYPL_close,PYPL_volume,QCOM_close,QCOM_volume,RTX_close,RTX_volume,SBUX_close,SBUX_volume,SCHW_close,SCHW_volume,SO_close,SO_volume,SPG_close,SPG_volume,T_close,T_volume,TGT_close,TGT_volume,TMO_close,TMO_volume,TMUS_close,TMUS_volume,TSLA_close,TSLA_volume,TXN_close,TXN_volume,UNH_close,UNH_volume,UNP_close,UNP_volume,USB_close,USB_volume,V_close,V_volume,VZ_close,VZ_volume,WBA_close,WBA_volume,WFC_close,WFC_volume,WMT_close,WMT_volume,XOM_close,XOM_volume
2018-01-02,43.064998626708984,102223600,98.41000366210938,4561300,58.790000915527344,10112800,153.83999633789062,3061900,177.6999969482422,2432800,59.5,3769600,10.979999542236328,44146300,177.0,2301100,141.1300048828125,1880600,59.45050048828125,53890000,26.701000213623047,33135000,98.94000244140625,2746700,296.8399963378906,2978900,29.899999618530273,57121600,334.1700134277344,1422500,53.81999969482422,3633100,1784.75,475500,508.9700012207031,526400,61.310001373291016,6472700,197.22000122070312,4113000,74.36000061035156,15819800,157.0399932861328,5108400,348.9700012207031,2789200,75.13999938964844,4352500,41.06999969482422,18270300,99.61000061035156,1663700,55.31999969482422,3985200,188.32000732421875,2509300,104.41000366210938,4669200,38.86000061035156,20135700,73.5199966430664,5878300,127.58000183105469,5626000,81.95035552978516,4087646,111.80000305175781,11014300,83.2300033569336,3167900,70.73999786376953,3086500,28.238231658935547,7224506,12.65999984741211,20773300,257.6000061035156,2461300,200.49000549316406,1588000,86.16802215576172,16185981,74.0999984741211,7905100,41.79999923706055,6934600,53.25,24752000,53.660499572753906,31766000,255.6699981689453,2258300,188.02999877929688,4684700,147.3232421875,2987743,147.46653747558594,4395815,46.849998474121094,23370800,158.72000122070312,1436100,125.08333587646484,2483700,139.22999572753906,6842100,107.94999694824219,13578800,77.0199966430664,4009000,18.799999237060547,16189100,45.540000915527344,10872200,156.19000244140625,1067600,84.68000030517578,3456700,318.5400085449219,1189600,91.62000274658203,6572600,151.91000366210938,3168900,173.22000122070312,3696900,42.40999984741211,6516100,82.20999908447266,4783500,50.18000030517578,5424500,181.4199981689453,18151900,197.02340698242188,3505476,70.73999786376953,5917300,53.64503860473633,10556504,52.189998626708984,6644600,85.94999694824219,22483800,38.772499084472656,4766400,201.07000732421875,10966900,63.4900016784668,6511000,4.983749866485596,355616000,46.630001068115234,25380000,118.05999755859375,4165800,34.573055267333984,17059833,90.6500015258789,7558900,104.38999938964844,5126800,73.83999633789062,7296500,65.19999694824219,6329600,80.65450286865234,4918591,57.630001068115234,7216000,51.439998626708984,7220800,47.16999816894531,7278800,172.4199981689453,1442900,29.108760833740234,42626974,67.62999725341797,8509000,192.97999572753906,1140900,64.04000091552734,2192400,21.368667602539062,65283000,105.56999969482422,4236200,221.16000366210938,3485000,135.77999877929688,4298000,54.029998779296875,5367700,114.51000213623047,6080900,53.529998779296875,16045300,74.94999694824219,6605000,61.09000015258789,13819300,32.86333465576172,30451500,85.02999877929688,11469300
2018-01-03,43.057498931884766,118071600,99.94999694824219,4702300,58.91999816894531,5683700,154.5500030517578,2064200,181.0399932861328,2561200,60.15999984741211,4959200,11.550000190734863,154066700,180.33999633789062,3084000,141.67999267578125,1770500,60.209999084472656,62176000,26.993000030517578,31161000,99.55000305175781,2976400,297.79998779296875,3211200,29.799999237060547,57865700,339.8500061035156,1121700,54.150001525878906,2409300,1824.1600341796875,525000,514.3400268554688,448700,61.36000061035156,7433500,199.7899932861328,3526700,74.58999633789062,14657900,157.27999877929688,4146100,353.0299987792969,2500800,74.8499984741211,3310000,40.40999984741211,21062900,99.44000244140625,2323700,56.34000015258789,4105800,190.5800018310547,3364400,105.29000091552734,3888700,39.16999816894531,29536000,73.19999694824219,6139500,128.50999450683594,5805500,83.04077911376953,2791236,112.27999877929688,9237900,82.97000122070312,2690200,71.38999938964844,3308800,27.860200881958008,6750350,12.760000228881836,29765600,260.82000732421875,2149600,201.74000549316406,1692700,86.98273468017578,17000180,74.66000366210938,6640000,42.81999969482422,14591600,54.124000549316406,28604000,54.57600021362305,31318000,253.2899932861328,2988200,189.00999450683594,4530500,146.10601806640625,6612348,151.52008056640625,9875914,45.2599983215332,116479000,159.16000366210938,1410900,127.94000244140625,2365500,140.55999755859375,5350500,108.05999755859375,11901000,77.01000213623047,3369300,18.959999084472656,13893600,45.439998626708984,12635600,157.5,1427900,85.13999938964844,3078400,321.2099914550781,893400,92.0199966430664,4572000,153.82000732421875,3732400,172.49000549316406,3789600,42.58000183105469,8633800,83.91999816894531,6879100,50.5,4124300,184.6699981689453,16886600,197.01504516601562,2623665,70.4800033569336,6036400,53.568702697753906,11090460,52.33000183105469,6955500,86.3499984741211,26061400,37.95000076293945,11008000,205.0500030517578,8591400,63.47999954223633,6091100,5.3117499351501465,914704000,47.709999084472656,24165000,117.75,4224000,34.8292236328125,14183151,90.54000091552734,5863600,104.26000213623047,3589600,76.75,9945400,65.94000244140625,6844200,81.83763122558594,7958983,58.709999084472656,7478400,51.52000045776367,5522700,46.900001525878906,6292800,171.6199951171875,1849300,28.436555862426758,51851150,67.16999816894531,6057500,196.52000427246094,1458300,63.61000061035156,2610800,21.149999618530273,67822500,108.43000030517578,6918900,223.47999572753906,2417600,136.5399932861328,4653700,54.560001373291016,5043800,115.6500015258789,6946100,52.43000030517578,16662400,75.51000213623047,7147300,61.560001373291016,14203700,33.150001525878906,26710800,86.69999694824219,13957700
2018-01-04,43.25749969482422,89738400,99.37999725341797,3579000,58.81999969482422,6240000,156.3800048828125,1777000,183.22000122070312,2211400,60.400001525878906,4170600,12.119999885559082,109503000,179.5800018310547,2021100,139.61000061035156,1729600,60.47949981689453,60442000,27.00200080871582,19067000,100.8499984741211,3122000,296.6700134277344,4171700,30.190000534057617,76512500,339.989990234375,967100,54.689998626708984,2886500,1807.25,592600,521.1300048828125,389800,61.75,6403200,200.69000244140625,3900000,75.51000213623047,16864900,159.44000244140625,4865800,349.7900085449219,1176400,75.33000183105469,2501700,40.66999816894531,18143800,101.41999816894531,2149100,56.9900016784668,4897200,189.10000610351562,3525800,106.68000030517578,4540200,38.9900016784668,20731400,75.12999725341797,13715500,128.11000061035156,4598300,83.43971252441406,2397226,112.2300033569336,7417400,82.31999969482422,2475800,71.48999786376953,2806400,27.46790313720703,6630619,12.979999542236328,37478200,264.8800048828125,2600400,205.2100067138672,1473200,88.80386352539062,17225995,73.9000015258789,5074600,44.13999938964844,17298700,54.31999969482422,20092000,54.78799819946289,26052000,256.8299865722656,2583200,190.50999450683594,4047400,148.08041381835938,4691432,154.5889129638672,7903785,44.43000030517578,89209100,162.00999450683594,1695000,125.63999938964844,2696400,140.5500030517578,4837600,109.04000091552734,12953700,77.91000366210938,3608500,19.010000228881836,12718900,46.08000183105469,12709400,159.97000122070312,1896800,85.5199966430664,2462500,326.7200012207031,1443000,92.73999786376953,3542800,155.80999755859375,3247200,173.6999969482422,2756400,42.68000030517578,8718800,84.12000274658203,5943200,51.36000061035156,4373900,184.3300018310547,13880900,199.59030151367188,2682748,70.19999694824219,6177300,54.4370231628418,15751650,53.130001068115234,8678800,87.11000061035156,21912000,37.755001068115234,13629200,205.6300048828125,6029600,63.439998626708984,5780500,5.339749813079834,583268000,48.18000030517578,19815100,118.33000183105469,3147000,34.90512466430664,13046517,91.18000030517578,6322500,103.47000122070312,4170100,76.7300033569336,8650000,66.02999877929688,5060100,82.09565734863281,5820666,58.93000030517578,5775900,51.810001373291016,5310400,46.70000076293945,5231500,166.60000610351562,2159500,28.70090675354004,36894187,65.8499984741211,7124500,198.97999572753906,1566400,63.0,2384400,20.974666595458984,149194500,108.29000091552734,5460400,224.4499969482422,2749100,135.8000030517578,4384900,54.97999954223633,7583600,116.08000183105469,7805300,52.599998474121094,12062800,71.5999984741211,12456000,62.33000183105469,18740500,33.18000030517578,20491200,86.81999969482422,10863000
2018-01-05,43.75,94640000,101.11000061035156,4599300,58.9900016784668,5836900,157.6699981689453,1597600,185.33999633789062,2376500,60.650001525878906,3726100,11.880000114440918,63808900,180.64999389648438,2211400,140.50999450683594,2119400,61.457000732421875,70894000,27.16200065612793,28633000,101.08000183105469,2550300,308.8399963378906,6177700,30.329999923706055,56445200,342.489990234375,1486400,54.83000183105469,2514700,1823.5400390625,358600,525.5700073242188,483000,61.88999938964844,6113400,201.4199981689453,4207600,75.41000366210938,15300500,161.9600067138672,3945400,350.8800048828125,1960500,75.41999816894531,2852800,41.040000915527344,17007500,101.43000030517578,2058500,56.880001068115234,3771900,187.75,2819000,108.0999984741211,3368400,39.529998779296875,24588200,78.44999694824219,15338100,127.9000015258789,4189200,83.9627685546875,2121430,111.62000274658203,6008300,81.94000244140625,3827200,72.43000030517578,3118800,27.23965835571289,10013224,13.199999809265137,46121900,265.9200134277344,2863900,204.6999969482422,1722600,88.85179138183594,16667865,74.5199966430664,7901100,44.0099983215332,9643300,55.11149978637695,25582000,55.51449966430664,30250000,255.52000427246094,2594700,192.5,4224800,149.11553955078125,2586470,155.3441619873047,5434807,44.7400016784668,41824000,164.11000061035156,1071900,126.336669921875,2098500,141.7100067138672,6158800,108.33999633789062,14155000,77.83999633789062,4152500,18.950000762939453,11225300,46.06999969482422,13113100,161.3699951171875,1699500,86.56999969482422,2946300,329.67999267578125,1241100,94.73999786376953,5524200,159.0399932861328,2747700,174.0500030517578,3737700,43.22999954223633,10811500,85.54000091552734,7428500,51.84000015258789,3419000,186.85000610351562,13574500,201.14549255371094,2195736,70.4000015258789,6383400,54.3797721862793,9955057,53.11000061035156,6476000,88.19000244140625,23407100,37.9275016784668,10318000,209.99000549316406,7033200,63.97999954223633,11632300,5.385000228881836,580124000,48.470001220703125,14496400,118.66999816894531,2714200,34.97153854370117,13167517,91.23999786376953,5949700,104.30000305175781,4641400,78.69999694824219,11822100,66.47000122070312,5421800,82.80050659179688,5835444,59.61000061035156,6047700,52.0099983215332,5696200,46.779998779296875,6120500,168.14999389648438,2126500,28.8066463470459,29386048,66.55000305175781,5549700,202.38999938964844,1469500,64.5999984741211,3292600,21.10533332824707,68868000,109.12000274658203,5254900,228.72999572753906,2432800,137.52999877929688,5381200,55.31999969482422,6863200,118.86000061035156,8590500,52.47999954223633,13348900,72.91999816894531,9067200,62.75,14217900,33.37666702270508,21852000,86.75,11047600
2018-01-08,43.587501525878906,82271200,99.48999786376953,5582000,58.81999969482422,5411500,158.92999267578125,2616900,185.0399932861328,2088000,60.25,3229200,12.279999732971191,63346000,180.60000610351562,2356200,142.00999450683594,1882100,62.34349822998047,85590000,27.226999282836914,20971000,100.1500015258789,1896500,310.1499938964844,4124900,30.1200008392334,42914800,329.6499938964844,1438800,55.060001373291016,3773100,1851.81005859375,555600,529.489990234375,561500,61.90999984741211,4663700,202.74000549316406,3887900,74.52999877929688,14215700,166.02999877929688,5929200,356.54998779296875,1485700,75.52999877929688,1688600,40.47999954223633,15189500,100.80000305175781,1763400,57.459999084472656,4522900,188.47999572753906,1961800,108.86000061035156,2933600,39.939998626708984,16582000,77.7699966430664,9589200,128.52999877929688,4826100,84.44149017333984,2038522,110.0199966430664,8052600,82.19999694824219,3560000,72.19999694824219,2334700,27.53209686279297,15116925,13.149999618530273,33828300,268.6600036621094,1956000,204.6999969482422,1044900,87.60575866699219,17130657,74.4000015258789,5858500,44.220001220703125,13099600,55.34700012207031,20952000,55.71049880981445,24644000,251.80999755859375,2940500,192.0399932861328,3508500,148.31044006347656,2858680,156.28106689453125,5478425,44.7400016784668,33733800,164.2100067138672,1185800,130.6199951171875,2977500,141.88999938964844,5129800,108.5,12466500,78.4800033569336,3126900,18.860000610351562,12309100,46.0,7068600,161.30999755859375,936700,86.12999725341797,3251400,328.1600036621094,1084500,93.70999908447266,6191600,159.27000427246094,3143100,173.92999267578125,2060800,43.0099983215332,8140300,85.51000213623047,6117600,51.97999954223633,4216000,188.27999877929688,17994700,200.49331665039062,2235324,70.30999755859375,6054800,54.064884185791016,11642546,52.88999938964844,6681400,88.27999877929688,22113000,38.2400016784668,7225200,212.0500030517578,5580200,64.55000305175781,11905700,5.550000190734863,881216000,48.97999954223633,15075000,117.98999786376953,5730400,34.582542419433594,19964341,91.72000122070312,4860700,104.13999938964844,4911600,79.05000305175781,7963600,66.2699966430664,4266900,83.587158203125,10526807,59.310001373291016,6335800,52.2400016784668,4803600,47.20000076293945,7945500,169.25,1874900,28.889728546142578,35276524,67.18000030517578,8337200,202.72000122070312,1974600,65.0999984741211,3606000,22.42733383178711,147891000,109.63999938964844,4549400,224.75999450683594,2850800,139.44000244140625,5472300,55.400001525878906,6817400,119.33999633789062,6660700,52.38999938964844,16212700,73.8499984741211,5312500,62.040000915527344,15569400,33.869998931884766,26531700,87.13999938964844,10927100
2018-01-09,43.58250045776367,86336000,100.23999786376953,4055400,58.91999816894531,7466900,159.4600067138672,3204700,186.6999969482422,1804300,60.630001068115234,6669100,11.819999694824219,62560900,183.3800048828125,3031700,141.0500030517578,1581600,62.6349983215332,73226000,26.850000381469727,26027000,100.5199966430664,2978500,318.42999267578125,5641300,30.270000457763672,69479100,336.3599853515625,1326400,55.560001373291016,4121700,1865.2900390625,368800,533.9400024414062,547700,61.849998474121094,5156800,203.02000427246094,3834900,75.30999755859375,14209500,166.42999267578125,4522900,354.760009765625,938900,75.63999938964844,2518300,40.61000061035156,17026000,101.69000244140625,2164200,57.93000030517578,5519700,186.2899932861328,2241900,109.1500015258789,3302300,39.689998626708984,21449800,77.69000244140625,7778400,127.83999633789062,4422300,87.42021179199219,4917178,109.94000244140625,5838000,81.23999786376953,2781700,72.31999969482422,3367600,27.218259811401367,10745349,13.079999923706055,27924100,267.75,1648300,205.8800048828125,1290200,88.94763946533203,13855205,78.0999984741211,14824100,44.04999923706055,7768100,55.3129997253418,18050000,55.63949966430664,26808000,253.94000244140625,2637300,193.10000610351562,3012300,149.52767944335938,3538841,156.625244140625,4541523,43.619998931884766,44282300,164.85000610351562,1098300,132.53334045410156,4203300,144.13999938964844,8897000,109.05000305175781,13292300,78.62000274658203,3436500,18.940000534057617,10734400,46.22999954223633,9962400,162.8800048828125,3366400,86.05999755859375,2426000,330.510009765625,865400,94.55000305175781,4112200,159.5,2573900,173.5399932861328,2674300,42.9900016784668,5805300,85.87999725341797,6099900,52.36000061035156,4536300,187.8699951171875,12393100,201.7391357421875,2027340,69.56999969482422,6269300,54.1984748840332,11142022,53.29999923706055,6622700,88.22000122070312,19484300,37.959999084472656,6527600,209.30999755859375,6125900,64.08999633789062,8771300,5.548500061035156,497000000,49.060001373291016,14153700,118.08000183105469,4573600,34.544593811035156,16876226,91.05000305175781,6630100,104.88999938964844,3939200,79.19000244140625,9620400,65.2699966430664,7632300,84.49968719482422,6724489,59.18000030517578,5233400,53.34000015258789,6660600,46.61000061035156,5694500,165.52999877929688,1720900,28.315710067749023,37152896,69.13999938964844,18160800,206.10000610351562,1845200,65.5999984741211,5334400,22.246000289916992,107199000,110.38999938964844,4747800,225.8800048828125,2672200,141.0,6390800,55.779998779296875,6392100,119.11000061035156,6562400,51.61000061035156,14677800,73.41999816894531,4146700,62.2599983215332,15766500,33.46333312988281,21938100,86.7699966430664,8131600
2018-01-10,43.5724983215332,95839600,99.69000244140625,4608600,58.83000183105469,4340800,158.89999389648438,1624100,187.11000061035156,1664300,61.0,12261300,11.960000038146973,52561200,182.86000061035156,2542700,137.61000061035156,3330500,62.71649932861328,53720000,26.283000946044922,31607000,101.22000122070312,2279200,320.260009765625,4479300,30.549999237060547,63532800,336.7200012207031,973400,57.29999923706055,5113400,1872.9100341796875,274200,531.5700073242188,483800,62.0099983215332,5096300,205.61000061035156,3793100,75.6500015258789,14008000,165.8699951171875,5478600,350.8299865722656,1092400,74.81999969482422,3138300,41.09000015258789,20198100,103.13999938964844,2620600,57.650001525878906,4627900,185.4199981689453,2609500,108.80000305175781,3113300,39.90999984741211,19473000,77.44000244140625,8772200,128.66000366210938,5292200,87.09220123291016,2780069,109.47000122070312,6060000,80.11000061035156,3227200,72.58999633789062,2411300,27.06847381591797,6890550,13.029999732971191,56517100,268.010009765625,1644400,204.75,956900,90.72084045410156,17177522,78.70999908447266,10150400,43.0,18281500,55.13050079345703,20856000,55.50699996948242,20734000,254.3300018310547,2927200,191.8000030517578,3119500,150.56280517578125,2673172,156.95985412597656,4366109,42.5,45735000,163.50999450683594,1095400,141.25332641601562,6130800,143.97000122070312,6558600,110.25,15834500,77.88999938964844,3823700,18.8799991607666,12593900,46.06999969482422,10700700,162.6199951171875,2416800,86.0999984741211,1674600,331.04998779296875,1504600,94.16999816894531,2778000,159.86000061035156,2416900,173.50999450683594,2172500,42.630001068115234,6494700,85.48999786376953,3575300,53.029998779296875,5025800,187.83999633789062,10529900,201.6220703125,1962516,70.29000091552734,6709900,54.67557144165039,9497395,53.93000030517578,11028800,87.81999969482422,18652200,37.647499084472656,7042800,212.52000427246094,5951500,64.22000122070312,5010600,5.5920000076293945,582664000,48.79999923706055,13476600,117.4800033569336,3363900,34.60151672363281,18755825,90.47000122070312,6564700,105.62999725341797,3696500,79.37000274658203,6248600,65.26000213623047,6569300,84.89616394042969,5216528,59.81999969482422,8656500,53.560001373291016,9043300,45.959999084472656,7197000,164.97999572753906,1339500,27.65860939025879,54388066,70.7300033569336,10985200,206.2899932861328,1421200,63.88999938964844,3597000,22.31999969482422,64648500,109.69999694824219,5737400,224.1999969482422,2311600,139.6999969482422,9513700,56.20000076293945,7121800,118.9800033569336,7490300,51.689998626708984,12593400,74.08000183105469,4562600,63.119998931884766,18107500,33.223331451416016,23791200,86.08000183105469,10822300
2018-01-11,43.81999969482422,74670800,99.2699966430664,4240900,58.95000076293945,4240900,159.11000061035156,1809200,188.9199981689453,1600100,61.150001525878906,6536500,12.140000343322754,38354900,181.9600067138672,2101300,134.97000122070312,3244000,63.83399963378906,62500000,26.350000381469727,17726000,100.7300033569336,2745400,328.1199951171875,4635300,30.65999984741211,59318300,333.07000732421875,1002000,57.83000183105469,3476200,1893.0999755859375,385900,537.9199829101562,765200,62.470001220703125,6591100,206.69000244140625,3641500,75.55999755859375,15459900,169.1999969482422,4199000,355.2699890136719,1191100,74.55000305175781,2007400,42.599998474121094,36703700,104.41999816894531,2177700,59.18000030517578,7341800,189.3800048828125,4678600,109.0999984741211,3668100,40.099998474121094,21685600,79.0199966430664,7158200,132.57000732421875,11641300,87.40248107910156,2285441,110.98999786376953,6427000,79.27999877929688,4087200,73.87999725341797,2917300,27.396575927734375,10419524,13.15999984741211,28342300,271.19000244140625,1652100,205.50999450683594,1245600,91.15216064453125,20808952,79.05999755859375,7872900,44.189998626708984,11245800,55.2760009765625,19566000,55.602500915527344,22424000,255.1300048828125,2422400,194.67999267578125,3899200,151.35830688476562,2430384,156.97897338867188,3969047,43.40999984741211,35371500,163.0,813700,140.4566650390625,3824400,144.7899932861328,4962200,110.83999633789062,13676800,77.12999725341797,3493700,19.200000762939453,17387600,46.040000915527344,7583200,163.80999755859375,2007100,86.38999938964844,2647500,331.1300048828125,1152000,95.73999786376953,3172600,160.9199981689453,2804000,173.38999938964844,3078000,42.5099983215332,6526500,85.7300033569336,3930300,53.4900016784668,3583100,187.77000427246094,9588600,202.60032653808594,1779289,70.29000091552734,7486300,54.961830139160156,7447402,54.20000076293945,8310000,88.08000183105469,17808900,37.625,7550400,217.24000549316406,7659500,64.29000091552734,5103500,5.6020002365112305,406032000,48.95000076293945,11687800,116.87999725341797,3685200,34.68690872192383,15102555,90.1500015258789,5469700,104.86000061035156,4109300,79.75,6267500,65.43000030517578,4233100,84.95280456542969,7633874,60.0,5806300,54.16999816894531,5379300,45.25,6867800,164.8300018310547,1494600,27.55286979675293,54813997,74.0,12186000,208.66000366210938,1520600,63.84000015258789,3149100,22.530000686645508,99682500,110.66999816894531,3903700,225.38999938964844,2543600,140.35000610351562,3103200,56.68000030517578,6146900,119.83999633789062,5982100,52.11000061035156,15568200,75.37999725341797,6304500,63.0099983215332,22075000,33.34000015258789,19613100,86.93000030517578,14366000
2018-01-12,44.272499084472656,101672400,100.33999633789062,4372600,58.84000015258789,6320900,160.11000061035156,2048800,195.0500030517578,4246000,60.970001220703125,6240100,12.020000457763672,47149300,185.0399932861328,3111400,133.0,3197300,65.26000213623047,108874000,26.429000854492188,19881000,100.97000122070312,3231500,336.2099914550781,6559300,31.190000534057617,66371600,335.95001220703125,885500,58.41999816894531,3484200,1919.4000244140625,555300,555.530029296875,941800,62.810001373291016,5489200,210.16000366210938,4184400,76.83999633789062,16946700,170.3000030517578,4127900,354.0,644600,74.62000274658203,2338200,42.439998626708984,18970000,105.43000030517578,2298000,60.04999923706055,6742100,191.83999633789062,3499500,110.23999786376953,5749500,40.869998931884766,23770500,78.77999877929688,7098200,133.60000610351562,7232900,88.11170196533203,2136996,112.47000122070312,5899900,78.9000015258789,3211400,73.91000366210938,3500400,27.38231086730957,7143470,13.229999542236328,56979200,271.8500061035156,1342900,210.58999633789062,1892700,89.9061279296875,18169606,79.0199966430664,6366200,44.06999969482422,14914600,56.112998962402344,34410000,56.532501220703125,38586000,257.0299987792969,2849200,196.4199981689453,6748400,152.4605255126953,2445200,155.965576171875,5263367,43.2400016784668,29973600,164.50999450683594,651800,139.67999267578125,2797200,145.75999450683594,5450600,112.66999816894531,18884200,77.3499984741211,4223500,19.520000457763672,16117000,46.150001525878906,14570100,164.14999389648438,2644400,86.9800033569336,2728900,336.25,1428100,100.86000061035156,14247600,162.3300018310547,3041000,173.57000732421875,2901600,42.470001220703125,7179400,85.44999694824219,5085900,53.33000183105469,5480400,179.3699951171875,77551300,204.40635681152344,2361263,69.61000061035156,7413600,55.97328186035156,12935569,55.119998931884766,8998000,89.5999984741211,24271500,37.58000183105469,6386400,221.22999572753906,8199400,64.66999816894531,5135700,5.57450008392334,359916000,49.5099983215332,15978200,117.37999725341797,4335500,34.667930603027344,20240700,89.61000061035156,8111000,104.5,5513700,80.54000091552734,6891100,65.37999725341797,5007200,85.95343017578125,8285523,60.400001525878906,6989100,55.38999938964844,7517000,44.84000015258789,8591200,165.50999450683594,1238100,27.87009048461914,41285233,76.80000305175781,14846000,210.1699981689453,1486500,63.68000030517578,3165200,22.4146671295166,72376500,112.72000122070312,4577800,228.63999938964844,3943800,141.1699981689453,3268800,56.97999954223633,5339800,120.08999633789062,5585800,51.86000061035156,17673700,76.06999969482422,6457800,62.54999923706055,25886100,33.62333297729492,20853600,87.5199966430664,9834500
2018-01-16,44.04750061035156,118263600,102.48999786376953,8528600,58.439998626708984,7175000,157.9600067138672,2858700,192.4600067138672,4595600,61.060001373291016,6078900,11.90999984741211,42686600,185.5399932861328,3374600,135.6300048828125,3193900,65.24299621582031,144414000,26.325000762939453,33528000,100.33999633789062,3814000,335.1600036621094,12305500,31.239999771118164,104467900,338.8500061035156,1256800,57.540000915527344,5864100,1919.469970703125,604900,563.0,1370600,59.91999816894531,14471700,210.2899932861328,6220000,77.11000061035156,26181400,169.30999755859375,8530600,352.92999267578125,1112500,75.41999816894531,4580500,41.81999969482422,19018100,104.41999816894531,2675500,58.84000015258789,5458600,191.52999877929688,2006600,108.88999938964844,5790800,40.540000915527344,32845000,79.44000244140625,8437300,132.00999450683594,6254200,88.18262481689453,2511830,110.69000244140625,8069200,78.41999816894531,4375300,72.83000183105469,3899900,27.43937110900879,10847695,13.100000381469727,53961400,269.5799865722656,1668600,206.3300018310547,1753800,87.2702865600586,42912819,80.25,11750200,44.189998626708984,20169300,56.0880012512207,31506000,56.53499984741211,36462000,258.4599914550781,4445500,196.30999755859375,5692700,151.32955932617188,3570768,156.6443634033203,8152733,43.13999938964844,38367200,162.2899932861328,1385000,140.02333068847656,3021900,146.86000061035156,8804000,112.2699966430664,22703300,78.63999938964844,5327800,19.389999389648438,20322000,46.529998779296875,16459300,162.10000610351562,2754100,85.29000091552734,4878300,330.1099853515625,1374900,100.97000122070312,13570400,162.2899932861328,4673400,173.67999267578125,3662600,42.9900016784668,8659500,85.31999969482422,5428200,51.849998474121094,9410800,178.38999938964844,36183800,204.63211059570312,2883676,68.91999816894531,10521000,59.22710037231445,50399682,54.599998474121094,11168500,88.3499984741211,36599700,37.6349983215332,7471600,221.52999877929688,13516100,63.41999816894531,9117000,5.502749919891357,702348000,49.59000015258789,17152600,117.86000061035156,4936500,34.724857330322266,30536699,90.22000122070312,9465300,104.87000274658203,5855600,80.41999816894531,9596600,68.25,24478800,84.3108901977539,8288065,60.560001373291016,8040700,55.529998779296875,9365300,44.65999984741211,9767000,165.0399932861328,1448900,27.73413848876953,32739342,74.95999908447266,10167900,208.00999450683594,2264300,62.970001220703125,4669900,22.67066764831543,97114500,112.91999816894531,9251500,232.89999389648438,6852600,140.30999755859375,5793300,57.16999816894531,8840200,120.38999938964844,8803800,51.65999984741211,14739200,76.02999877929688,4751300,62.5,17907800,33.563331604003906,21512100,86.97000122070312,10882800
